team,conference,ncaa_id,rating,rd,volatility,wins,losses
Cal Poly,Big West,505604,1500,600,0.06,0.0,0.0
Cal St. Fullerton,Big West,505607,1500,600,0.06,0.0,0.0
California,Pac 12,505612,1500,600,0.06,0.0,0.0
California Baptist,WAC,505841,1500,600,0.06,0.0,0.0
Campbell,Big South,505617,1500,600,0.06,0.0,0.0
Canisius,MAAC,505618,1500,600,0.06,0.0,0.0
Central Ark.,Southland,505549,1500,600,0.06,0.0,0.0
Central Conn. St.,NEC,505619,1500,600,0.06,0.0,0.0
Central Mich.,MAC,505621,1500,600,0.06,0.0,0.0
Charleston So.,Big South,505589,1500,600,0.06,0.0,0.0
Charlotte,C-USA,505746,1500,600,0.06,0.0,0.0
Chattanooga,Southern,505499,1500,600,0.06,0.0,0.0
Chicago St.,WAC,505622,1500,600,0.06,0.0,0.0
Cincinnati,AAC,505623,1500,600,0.06,0.0,0.0
Clemson,ACC,505625,1500,600,0.06,0.0,0.0
Cleveland St.,Horizon,505626,1500,600,0.06,0.0,0.0
Coastal Carolina,Sunbelt,505627,1500,600,0.06,0.0,0.0
Col. of Charleston,CAA,505550,1500,600,0.06,0.0,0.0
Colgate,Patriot,505628,1500,600,0.06,0.0,0.0
Colorado,Pac 12,505630,1500,600,0.06,0.0,0.0
Colorado St.,MWC,505629,1500,600,0.06,0.0,0.0
Columbia,Ivy,505631,1500,600,0.06,0.0,0.0
Coppin St.,MEAC,505633,1500,600,0.06,0.0,0.0
Cornell,Ivy,505634,1500,600,0.06,0.0,0.0
Creighton,Big East,505635,1500,600,0.06,0.0,0.0
CSU Bakersfield,WAC,505605,1500,600,0.06,0.0,0.0
CSUN,Big West,505609,1500,600,0.06,0.0,0.0
Dartmouth,Ivy,505636,1500,600,0.06,0.0,0.0
Davidson,A-10,505637,1500,600,0.06,0.0,0.0
Dayton,A-10,505638,1500,600,0.06,0.0,0.0
Delaware,CAA,505641,1500,600,0.06,0.0,0.0
Delaware St.,MEAC,505640,1500,600,0.06,0.0,0.0
Denver,Summit,505642,1500,600,0.06,0.0,0.0
DePaul,Big East,505639,1500,600,0.06,0.0,0.0
Detroit Mercy,Horizon,505643,1500,600,0.06,0.0,0.0
Dixie St.,WAC,506427,1500,600,0.06,0.0,0.0
Drake,MVC,505644,1500,600,0.06,0.0,0.0
Drexel,CAA,505645,1500,600,0.06,0.0,0.0
Duke,ACC,505646,1500,600,0.06,0.0,0.0
Duquesne,A-10,505647,1500,600,0.06,0.0,0.0
East Carolina,AAC,505648,1500,600,0.06,0.0,0.0
Eastern Ill.,OVC,505650,1500,600,0.06,0.0,0.0
Eastern Ky.,OVC,505651,1500,600,0.06,0.0,0.0
Eastern Mich.,MAC,505652,1500,600,0.06,0.0,0.0
Eastern Wash.,Big Sky,505653,1500,600,0.06,0.0,0.0
Elon,CAA,505551,1500,600,0.06,0.0,0.0
ETSU,Southern,505649,1500,600,0.06,0.0,0.0
Evansville,MVC,505654,1500,600,0.06,0.0,0.0
Fairfield,MAAC,505655,1500,600,0.06,0.0,0.0
Fairleigh Dickinson,NEC,505656,1500,600,0.06,0.0,0.0
FGCU,A-Sun,505568,1500,600,0.06,0.0,0.0
FIU,C-USA,505659,1500,600,0.06,0.0,0.0
Fla. Atlantic,C-USA,505658,1500,600,0.06,0.0,0.0
Florida,SEC,505661,1500,600,0.06,0.0,0.0
Florida A&M,MEAC,505657,1500,600,0.06,0.0,0.0
Florida St.,ACC,505660,1500,600,0.06,0.0,0.0
Fordham,A-10,505662,1500,600,0.06,0.0,0.0
Fresno St.,MWC,505606,1500,600,0.06,0.0,0.0
Furman,Southern,505663,1500,600,0.06,0.0,0.0
Ga. Southern,Sunbelt,505667,1500,600,0.06,0.0,0.0
Gardner-Webb,Big South,505552,1500,600,0.06,0.0,0.0
George Mason,A-10,505664,1500,600,0.06,0.0,0.0
George Washington,A-10,505665,1500,600,0.06,0.0,0.0
Georgetown,Big East,505666,1500,600,0.06,0.0,0.0
Georgia,SEC,505670,1500,600,0.06,0.0,0.0
Georgia St.,Sunbelt,505668,1500,600,0.06,0.0,0.0
Georgia Tech,ACC,505669,1500,600,0.06,0.0,0.0
Gonzaga,WCC,505671,1500,600,0.06,0.0,0.0
Grambling,SWAC,505672,1500,600,0.06,0.0,0.0
Grand Canyon,WAC,505553,1500,600,0.06,0.0,0.0
Green Bay,Horizon,505541,1500,600,0.06,0.0,0.0
Hampton,Big South,505673,1500,600,0.06,0.0,0.0
Hartford,Am. East,505674,1500,600,0.06,0.0,0.0
Harvard,Ivy,505675,1500,600,0.06,0.0,0.0
Hawaii,Big West,505676,1500,600,0.06,0.0,0.0
High Point,Big South,505565,1500,600,0.06,0.0,0.0
Hofstra,CAA,505677,1500,600,0.06,0.0,0.0
Holy Cross,Patriot,505678,1500,600,0.06,0.0,0.0
Houston,AAC,505680,1500,600,0.06,0.0,0.0
Houston Baptist,Southland,505679,1500,600,0.06,0.0,0.0
Howard,MEAC,505681,1500,600,0.06,0.0,0.0
Idaho,Big Sky,505683,1500,600,0.06,0.0,0.0
Idaho St.,Big Sky,505682,1500,600,0.06,0.0,0.0
Illinois,Big 10,505685,1500,600,0.06,0.0,0.0
Illinois St.,MVC,505684,1500,600,0.06,0.0,0.0
Indiana,Big 10,505688,1500,600,0.06,0.0,0.0
Indiana St.,MVC,505687,1500,600,0.06,0.0,0.0
Iona,MAAC,505690,1500,600,0.06,0.0,0.0
Iowa,Big 10,505692,1500,600,0.06,0.0,0.0
Iowa St.,Big 12,505691,1500,600,0.06,0.0,0.0
IUPUI,Horizon,505558,1500,600,0.06,0.0,0.0
Jackson St.,SWAC,505693,1500,600,0.06,0.0,0.0
Jacksonville,A-Sun,505695,1500,600,0.06,0.0,0.0
Jacksonville St.,OVC,505694,1500,600,0.06,0.0,0.0
James Madison,CAA,505696,1500,600,0.06,0.0,0.0
Kansas,Big 12,505698,1500,600,0.06,0.0,0.0
Kansas City,WAC,505559,1500,600,0.06,0.0,0.0
Kansas St.,Big 12,505697,1500,600,0.06,0.0,0.0
Kennesaw St.,A-Sun,505554,1500,600,0.06,0.0,0.0
Kent St.,MAC,505699,1500,600,0.06,0.0,0.0
Kentucky,SEC,505700,1500,600,0.06,0.0,0.0
La Salle,A-10,505701,1500,600,0.06,0.0,0.0
Lafayette,Patriot,505702,1500,600,0.06,0.0,0.0
Lamar University,Southland,505703,1500,600,0.06,0.0,0.0
Lehigh,Patriot,505704,1500,600,0.06,0.0,0.0
Liberty,A-Sun,505705,1500,600,0.06,0.0,0.0
Lipscomb,A-Sun,505567,1500,600,0.06,0.0,0.0
Little Rock,Sunbelt,505585,1500,600,0.06,0.0,0.0
LIU,NEC,505706,1500,600,0.06,0.0,0.0
LMU (CA),WCC,505713,1500,600,0.06,0.0,0.0
Long Beach St.,Big West,505608,1500,600,0.06,0.0,0.0
Longwood,Big South,505707,1500,600,0.06,0.0,0.0
Louisiana,Sunbelt,505490,1500,600,0.06,0.0,0.0
Louisiana Tech,C-USA,505709,1500,600,0.06,0.0,0.0
Louisville,ACC,505710,1500,600,0.06,0.0,0.0
Loyola Chicago,MVC,505714,1500,600,0.06,0.0,0.0
Loyola Maryland,Patriot,505712,1500,600,0.06,0.0,0.0
LSU,SEC,505708,1500,600,0.06,0.0,0.0
Maine,Am. East,505715,1500,600,0.06,0.0,0.0
Manhattan,MAAC,505716,1500,600,0.06,0.0,0.0
Marist,MAAC,505717,1500,600,0.06,0.0,0.0
Marquette,Big East,505718,1500,600,0.06,0.0,0.0
Marshall,C-USA,505719,1500,600,0.06,0.0,0.0
Maryland,Big 10,505721,1500,600,0.06,0.0,0.0
Massachusetts,A-10,505723,1500,600,0.06,0.0,0.0
McNeese,Southland,505724,1500,600,0.06,0.0,0.0
Memphis,AAC,505725,1500,600,0.06,0.0,0.0
Mercer,Southern,505726,1500,600,0.06,0.0,0.0
Merrimack,NEC,505842,1500,600,0.06,0.0,0.0
Miami (FL),ACC,505728,1500,600,0.06,0.0,0.0
Miami (OH),MAC,505727,1500,600,0.06,0.0,0.0
Michigan,Big 10,505730,1500,600,0.06,0.0,0.0
Michigan St.,Big 10,505729,1500,600,0.06,0.0,0.0
Middle Tenn.,C-USA,505731,1500,600,0.06,0.0,0.0
Milwaukee,Horizon,505543,1500,600,0.06,0.0,0.0
Minnesota,Big 10,505732,1500,600,0.06,0.0,0.0
Mississippi St.,SEC,505733,1500,600,0.06,0.0,0.0
Mississippi Val.,SWAC,505734,1500,600,0.06,0.0,0.0
Missouri,SEC,505736,1500,600,0.06,0.0,0.0
Missouri St.,MVC,505488,1500,600,0.06,0.0,0.0
Monmouth,MAAC,505737,1500,600,0.06,0.0,0.0
Montana,Big Sky,505739,1500,600,0.06,0.0,0.0
Montana St.,Big Sky,505738,1500,600,0.06,0.0,0.0
Morehead St.,OVC,505740,1500,600,0.06,0.0,0.0
Morgan St.,MEAC,505741,1500,600,0.06,0.0,0.0
Mount St. Mary's,NEC,505742,1500,600,0.06,0.0,0.0
Murray St.,OVC,505743,1500,600,0.06,0.0,0.0
N.C. A&T,MEAC,505761,1500,600,0.06,0.0,0.0
N.C. Central,MEAC,505762,1500,600,0.06,0.0,0.0
Navy,Patriot,505517,1500,600,0.06,0.0,0.0
NC State,ACC,505763,1500,600,0.06,0.0,0.0
Nebraska,Big 10,505749,1500,600,0.06,0.0,0.0
Nevada,MWC,505752,1500,600,0.06,0.0,0.0
New Hampshire,Am. East,505753,1500,600,0.06,0.0,0.0
New Mexico,MWC,505756,1500,600,0.06,0.0,0.0
New Mexico St.,WAC,505755,1500,600,0.06,0.0,0.0
New Orleans,Southland,505757,1500,600,0.06,0.0,0.0
Niagara,MAAC,505758,1500,600,0.06,0.0,0.0
Nicholls St.,Southland,505759,1500,600,0.06,0.0,0.0
NJIT,Am. East,505754,1500,600,0.06,0.0,0.0
Norfolk St.,MEAC,505760,1500,600,0.06,0.0,0.0
North Ala.,A-Sun,505570,1500,600,0.06,0.0,0.0
North Carolina,ACC,505745,1500,600,0.06,0.0,0.0
North Dakota,Summit,505765,1500,600,0.06,0.0,0.0
North Dakota St.,Summit,505764,1500,600,0.06,0.0,0.0
North Florida,A-Sun,505560,1500,600,0.06,0.0,0.0
North Texas,C-USA,505766,1500,600,0.06,0.0,0.0
Northeastern,CAA,505768,1500,600,0.06,0.0,0.0
Northern Ariz.,Big Sky,505769,1500,600,0.06,0.0,0.0
Northern Colo.,Big Sky,505770,1500,600,0.06,0.0,0.0
Northern Ill.,MAC,505771,1500,600,0.06,0.0,0.0
Northern Ky.,Horizon,505773,1500,600,0.06,0.0,0.0
Northwestern,Big 10,505775,1500,600,0.06,0.0,0.0
Northwestern St.,Southland,505774,1500,600,0.06,0.0,0.0
Notre Dame,ACC,505776,1500,600,0.06,0.0,0.0
Oakland,Horizon,505777,1500,600,0.06,0.0,0.0
Ohio,MAC,505779,1500,600,0.06,0.0,0.0
Ohio St.,Big 10,505778,1500,600,0.06,0.0,0.0
Oklahoma,Big 12,505781,1500,600,0.06,0.0,0.0
Oklahoma St.,Big 12,505780,1500,600,0.06,0.0,0.0
Old Dominion,C-USA,505782,1500,600,0.06,0.0,0.0
Ole Miss,SEC,505735,1500,600,0.06,0.0,0.0
Omaha,Summit,505750,1500,600,0.06,0.0,0.0
Oral Roberts,Summit,505783,1500,600,0.06,0.0,0.0
Oregon,Pac 12,505785,1500,600,0.06,0.0,0.0
Oregon St.,Pac 12,505784,1500,600,0.06,0.0,0.0
Pacific,WCC,505786,1500,600,0.06,0.0,0.0
Penn,Ivy,505789,1500,600,0.06,0.0,0.0
Penn St.,Big 10,505788,1500,600,0.06,0.0,0.0
Pepperdine,WCC,505790,1500,600,0.06,0.0,0.0
Pittsburgh,ACC,505791,1500,600,0.06,0.0,0.0
Portland,WCC,505793,1500,600,0.06,0.0,0.0
Portland St.,Big Sky,505792,1500,600,0.06,0.0,0.0
Prairie View,SWAC,505794,1500,600,0.06,0.0,0.0
Presbyterian,Big South,505555,1500,600,0.06,0.0,0.0
Princeton,Ivy,505795,1500,600,0.06,0.0,0.0
Providence,Big East,505796,1500,600,0.06,0.0,0.0
Purdue,Big 10,505797,1500,600,0.06,0.0,0.0
Purdue Fort Wayne,Summit,505689,1500,600,0.06,0.0,0.0
Quinnipiac,MAAC,505798,1500,600,0.06,0.0,0.0
Radford,Big South,505799,1500,600,0.06,0.0,0.0
Rhode Island,A-10,505800,1500,600,0.06,0.0,0.0
Rice,C-USA,505801,1500,600,0.06,0.0,0.0
Richmond,A-10,505802,1500,600,0.06,0.0,0.0
Rider,MAAC,505803,1500,600,0.06,0.0,0.0
Robert Morris,NEC,505804,1500,600,0.06,0.0,0.0
Rutgers,Big 10,505805,1500,600,0.06,0.0,0.0
Sacramento St.,Big Sky,505610,1500,600,0.06,0.0,0.0
Sacred Heart,NEC,505806,1500,600,0.06,0.0,0.0
Saint Francis (PA),NEC,505809,1500,600,0.06,0.0,0.0
Saint Joseph's,A-10,505831,1500,600,0.06,0.0,0.0
Saint Louis,A-10,505832,1500,600,0.06,0.0,0.0
Saint Mary's (CA),WCC,505833,1500,600,0.06,0.0,0.0
Saint Peter's,MAAC,505834,1500,600,0.06,0.0,0.0
Sam Houston St.,Southland,505835,1500,600,0.06,0.0,0.0
Samford,Southern,505836,1500,600,0.06,0.0,0.0
San Diego,WCC,505838,1500,600,0.06,0.0,0.0
San Diego St.,MWC,505837,1500,600,0.06,0.0,0.0
San Francisco,WCC,505839,1500,600,0.06,0.0,0.0
San Jose St.,MWC,505840,1500,600,0.06,0.0,0.0
Santa Clara,WCC,505470,1500,600,0.06,0.0,0.0
Seattle U,WAC,505556,1500,600,0.06,0.0,0.0
Seton Hall,Big East,505471,1500,600,0.06,0.0,0.0
SFA,Southland,505492,1500,600,0.06,0.0,0.0
Siena,MAAC,505472,1500,600,0.06,0.0,0.0
SIUE,OVC,505483,1500,600,0.06,0.0,0.0
SMU,AAC,505484,1500,600,0.06,0.0,0.0
South Alabama,Sunbelt,505473,1500,600,0.06,0.0,0.0
South Carolina,SEC,505475,1500,600,0.06,0.0,0.0
South Carolina St.,MEAC,505474,1500,600,0.06,0.0,0.0
South Dakota,Summit,505477,1500,600,0.06,0.0,0.0
South Dakota St.,Summit,505476,1500,600,0.06,0.0,0.0
South Fla.,AAC,505478,1500,600,0.06,0.0,0.0
Southeast Mo. St.,OVC,505479,1500,600,0.06,0.0,0.0
Southeastern La.,Southland,505480,1500,600,0.06,0.0,0.0
Southern California,Pac 12,505481,1500,600,0.06,0.0,0.0
Southern Ill.,MVC,505482,1500,600,0.06,0.0,0.0
Southern Miss.,C-USA,505485,1500,600,0.06,0.0,0.0
Southern U.,SWAC,505486,1500,600,0.06,0.0,0.0
Southern Utah,Big Sky,505487,1500,600,0.06,0.0,0.0
St. Bonaventure,A-10,505807,1500,600,0.06,0.0,0.0
St. Francis Brooklyn,NEC,505808,1500,600,0.06,0.0,0.0
St. John's (NY),Big East,505830,1500,600,0.06,0.0,0.0
Stanford,Pac 12,505491,1500,600,0.06,0.0,0.0
Stetson,A-Sun,505493,1500,600,0.06,0.0,0.0
Stony Brook,Am. East,505494,1500,600,0.06,0.0,0.0
Syracuse,ACC,505495,1500,600,0.06,0.0,0.0
Tarleton St.,WAC,506541,1500,600,0.06,0.0,0.0
TCU,Big 12,505503,1500,600,0.06,0.0,0.0
Temple,AAC,505496,1500,600,0.06,0.0,0.0
Tennessee,SEC,505500,1500,600,0.06,0.0,0.0
Tennessee St.,OVC,505497,1500,600,0.06,0.0,0.0
Tennessee Tech,OVC,505498,1500,600,0.06,0.0,0.0
Texas,Big 12,505507,1500,600,0.06,0.0,0.0
Texas A&M,SEC,505502,1500,600,0.06,0.0,0.0
Texas Southern,SWAC,505504,1500,600,0.06,0.0,0.0
Texas St.,Sunbelt,505489,1500,600,0.06,0.0,0.0
Texas Tech,Big 12,505505,1500,600,0.06,0.0,0.0
The Citadel,Southern,505624,1500,600,0.06,0.0,0.0
Toledo,MAC,505510,1500,600,0.06,0.0,0.0
Towson,CAA,505511,1500,600,0.06,0.0,0.0
Troy,Sunbelt,505512,1500,600,0.06,0.0,0.0
Tulane,AAC,505512,1500,600,0.06,0.0,0.0
Tulsa,AAC,505514,1500,600,0.06,0.0,0.0
UAB,C-USA,505576,1500,600,0.06,0.0,0.0
UC Davis,Big West,505613,1500,600,0.06,0.0,0.0
UC Irvine,Big West,505614,1500,600,0.06,0.0,0.0
UC Riverside,Big West,505616,1500,600,0.06,0.0,0.0
UC San Diego,Big West,505932,1500,600,0.06,0.0,0.0
UC Santa Barbara,Big West,505611,1500,600,0.06,0.0,0.0
UCF,AAC,505620,1500,600,0.06,0.0,0.0
UCLA,Pac 12,505615,1500,600,0.06,0.0,0.0
UConn,Big East,505632,1500,600,0.06,0.0,0.0
UIC,Horizon,505686,1500,600,0.06,0.0,0.0
UIW,Southland,505561,1500,600,0.06,0.0,0.0
ULM,Sunbelt,505767,1500,600,0.06,0.0,0.0
UMass Lowell,Am. East,505711,1500,600,0.06,0.0,0.0
UMBC,Am. East,505720,1500,600,0.06,0.0,0.0
UMES,MEAC,505722,1500,600,0.06,0.0,0.0
UNC Asheville,Big South,505744,1500,600,0.06,0.0,0.0
UNC Greensboro,Southern,505747,1500,600,0.06,0.0,0.0
UNCW,CAA,505748,1500,600,0.06,0.0,0.0
UNI,MVC,505772,1500,600,0.06,0.0,0.0
UNLV,MWC,505751,1500,600,0.06,0.0,0.0
USC Upstate,Big South,505563,1500,600,0.06,0.0,0.0
UT Arlington,Sunbelt,505506,1500,600,0.06,0.0,0.0
UT Martin,OVC,505501,1500,600,0.06,0.0,0.0
Utah,Pac 12,505519,1500,600,0.06,0.0,0.0
Utah St.,MWC,505518,1500,600,0.06,0.0,0.0
Utah Valley,WAC,505569,1500,600,0.06,0.0,0.0
UTEP,C-USA,505508,1500,600,0.06,0.0,0.0
UTRGV,WAC,505787,1500,600,0.06,0.0,0.0
UTSA,C-USA,505509,1500,600,0.06,0.0,0.0
Valparaiso,MVC,505520,1500,600,0.06,0.0,0.0
Vanderbilt,SEC,505521,1500,600,0.06,0.0,0.0
VCU,A-10,505524,1500,600,0.06,0.0,0.0
Vermont,Am. East,505522,1500,600,0.06,0.0,0.0
Villanova,Big East,505523,1500,600,0.06,0.0,0.0
Virginia,ACC,505527,1500,600,0.06,0.0,0.0
Virginia Tech,ACC,505526,1500,600,0.06,0.0,0.0
VMI,Southern,505525,1500,600,0.06,0.0,0.0
Wagner,NEC,505528,1500,600,0.06,0.0,0.0
Wake Forest,ACC,505529,1500,600,0.06,0.0,0.0
Washington,Pac 12,505531,1500,600,0.06,0.0,0.0
Washington St.,Pac 12,505530,1500,600,0.06,0.0,0.0
Weber St.,Big Sky,505532,1500,600,0.06,0.0,0.0
West Virginia,Big 12,505533,1500,600,0.06,0.0,0.0
Western Caro.,Southern,505534,1500,600,0.06,0.0,0.0
Western Ill.,Summit,505535,1500,600,0.06,0.0,0.0
Western Ky.,C-USA,505536,1500,600,0.06,0.0,0.0
Western Mich.,MAC,505537,1500,600,0.06,0.0,0.0
Wichita St.,AAC,505538,1500,600,0.06,0.0,0.0
William & Mary,CAA,505539,1500,600,0.06,0.0,0.0
Winthrop,Big South,505540,1500,600,0.06,0.0,0.0
Wisconsin,Big 10,505542,1500,600,0.06,0.0,0.0
Wofford,Southern,505562,1500,600,0.06,0.0,0.0
Wright St.,Horizon,505544,1500,600,0.06,0.0,0.0
Wyoming,MWC,505545,1500,600,0.06,0.0,0.0
Xavier,Big East,505546,1500,600,0.06,0.0,0.0
Yale,Ivy,505547,1500,600,0.06,0.0,0.0
Youngstown St.,Horizon,505548,1500,600,0.06,0.0,0.0
